instância,número de cidades,custo da solução (NN),custo da solução (2-OPT),custo da solução (VND)
att48,48,12861,10782,10782
pr144,144,61652,61400,61400
kroE100,100,27460,24459,24268
pr124,124,69297,61910,61823
kroC100,100,26227,23107,22968
rat99,99,1554,1418,1399
kroA100,100,27807,23737,22489
kroB200,200,36980,33375,33375
kroD100,100,26947,24721,24721
kroB150,150,34499,28435,27442
pr76,76,153462,121315,121128
pr107,107,46680,45340,44921
kroA200,200,35859,31749,31518
berlin52,52,8980,8385,8043
pr136,136,120769,110103,110103
st70,70,830,770,709
lin105,105,20356,18281,18230
rat195,195,2752,2497,2493
pr152,152,85699,79996,79996
kroA150,150,33633,28612,28612
kroB100,100,29158,25393,25393
